time,tilt_x_1,tilt_x_2,tilt_x_3,tilt_x_4
2025/3/26 18:00,0.3151,-0.4483,0.9168,-3.2576
2025/3/26 18:10,0.3137,-0.4498,0.9168,-3.2547
2025/3/26 18:20,0.3137,-0.4455,0.9168,-3.259
2025/3/26 18:30,0.3123,-0.4455,0.9211,-3.259
2025/3/26 18:40,0.3123,-0.4469,0.9211,-3.259
2025/3/26 18:50,0.3123,-0.4455,0.9211,-3.2605
2025/3/26 19:00,0.3123,-0.4469,0.9225,-3.2633
2025/3/26 19:10,0.3108,-0.4469,0.9254,-3.2605
2025/3/26 19:20,0.3123,-0.4469,0.9239,-3.2648
2025/3/26 19:30,0.3108,-0.4483,0.9268,-3.2676
2025/3/26 19:40,0.3108,-0.4483,0.9254,-3.2648
2025/3/26 19:50,0.3108,-0.4483,0.9239,-3.2633
2025/3/26 20:00,0.3108,-0.4483,0.9254,-3.2676
2025/3/26 20:10,0.3108,-0.4483,0.9254,-3.2705
2025/3/26 20:20,0.3108,-0.444,0.9282,-3.2719
2025/3/26 20:30,0.3151,-0.4483,0.9297,-3.2676
2025/3/26 20:40,0.3094,-0.4483,0.9282,-3.2676
2025/3/26 20:50,0.3151,-0.4498,0.9297,-3.2719
2025/3/26 21:00,0.3094,-0.4469,0.9297,-3.2734
2025/3/26 21:10,0.3094,-0.4498,0.9297,-3.2676
2025/3/26 21:20,0.3094,-0.4469,0.9297,-3.2734
2025/3/26 21:30,0.3108,-0.4483,0.9297,-3.2734
2025/3/26 21:40,0.3108,-0.4498,0.9297,-3.2719
2025/3/26 21:50,0.3137,-0.4455,0.9297,-3.2734
2025/3/26 22:00,0.308,-0.4498,0.9297,-3.2719
2025/3/26 22:10,0.3108,-0.4498,0.9297,-3.2719
2025/3/26 22:20,0.3123,-0.4498,0.9297,-3.2734
2025/3/26 22:30,0.3137,-0.4426,0.9297,-3.2734
2025/3/26 22:40,0.3137,-0.4469,0.9268,-3.2734
2025/3/26 22:50,0.3151,-0.4426,0.9297,-3.2734
2025/3/26 23:00,0.3108,-0.4426,0.9297,-3.2734
2025/3/26 23:10,0.3137,-0.4512,0.9282,-3.2748
2025/3/26 23:20,0.3094,-0.4412,0.9311,-3.2719
2025/3/26 23:30,0.3123,-0.4512,0.9297,-3.2748
2025/3/26 23:40,0.3137,-0.4498,0.9282,-3.2748
2025/3/26 23:50,0.3137,-0.4498,0.9311,-3.2748
2025/3/27 0:00,0.3137,-0.4455,0.9282,-3.2748
